File,lapneg_gavg,lappos_gavg,sobelh_gavg,sobelv_gavg,Variance,Crofton Perimeter,Number of Corners,Average Corner Strength,Sobel V Color Avg,Sobel V Gray Avg,Sobel H Color Avg,sobelv_gmax50,sobelh_gmax50,sobelh_gmax10,lapneg_gmax50,Class
030FD_001225.jpg,4.213203125,229.9793164,1.578626302,2.018570964,0.411392444,0.172896093,8958.488125,0.850663874,1.62569987,84.17519097,40.23636285,3.329153646,2.196210938,7.832682292,5.724388021,0
030FD_040125.jpg,3.679462891,247.4912891,1.42233724,1.526695964,0.394869384,0.116964439,6386.620726,0.35775337,1.465972222,75.14345486,42.12613173,2.782345361,2.262851563,6.494791667,4.655801435,0
030FD_015000.jpg,2.960758464,234.1060514,1.303125,1.308639323,0.441361522,0.213635967,5116.17411,0.330778308,1.374660373,55.22069987,35.75543837,2.579917184,2.711947791,6.248372396,5.045988613,0
030FD_067675.jpg,3.149791667,254.495332,1.169208984,1.293580729,0.298443367,0.112804192,4668.755405,0.27381377,1.21921441,68.7714974,53.3754286,2.034101563,1.658645833,4.059895833,3.815859375,0
030FD_000025.jpg,4.152304688,241.3084245,1.619700521,1.730273438,0.412253153,0.116121596,8647.482187,0.810383302,1.704708116,69.29470703,43.72418186,2.560818713,3.113275194,9.772135417,5.973396018,0
030FD_015425.jpg,2.689895833,233.0802865,1.126708984,1.191614583,0.486510225,0.13039769,4917.054455,0.375063241,1.173357205,43.36789497,36.89310764,2.745859213,2.590812629,8.5625,4.534773663,0
030FD_015200.jpg,3.462138672,252.4009473,1.253766276,1.377099609,0.383257011,0.112804192,5511.758493,0.380323035,1.324462891,57.46732856,46.13813368,2.679477226,2.454192547,6.415039063,5.093261317,0
030FD_071025.jpg,3.573476563,253.1075326,1.620039063,1.655563151,0.385584694,0.112804192,8326.99436,0.778945856,1.633398438,67.96166016,49.16373915,2.790820313,2.80421875,8.683268229,5.255950521,0
030FD_071050.jpg,3.325179036,252.152513,1.264736328,1.406865234,0.24033903,0.112804192,6639.976783,0.546287446,1.310826823,71.91370117,41.92157227,2.467591146,2.092890625,4.706705729,4.964192708,0
030FD_072750.jpg,2.784856771,250.5363835,0.951276042,0.953255208,0.329214335,0.112804192,3935.995072,0.364309904,0.987578125,64.77515299,45.31628906,1.712317708,1.397395833,4.102539063,3.893971354,0
030FD_021625.jpg,2.495283203,228.9127018,1.014814453,0.992750651,0.486304884,0.167948708,2528.503563,0.105453608,1.082342665,80.04310981,39.0661849,1.446770833,1.406028646,4.328776042,3.289414063,0
030FD_016275.jpg,3.064664714,217.8031478,1.303873698,1.248997396,0.47320787,0.194414586,5020.975951,0.30363034,1.323841146,63.86977431,32.51673611,2.566619318,2.341731771,6.510416667,4.455121043,0
030FD_020600.jpg,3.129248047,237.4376986,1.108154297,1.167867839,0.494922261,0.121380193,4188.719003,0.286540953,1.184490017,45.57286241,39.9414247,2.612163561,3.144668737,7.503472222,5.780615942,0
030FD_000525.jpg,2.666539714,242.4438477,0.942802734,1.062252604,0.355775375,0.119089883,3875.816687,0.230755432,1.030445964,63.38686632,48.53230903,1.767122396,1.672669271,4.838867188,3.563984375,0
046TE_056350.jpg,1.977786458,248.1127214,0.974915365,1.515491536,0.327799289,0.112804192,3178.58183,0.167249708,1.009832899,75.5738954,45.0398253,1.976119792,1.51796875,4.232747396,2.370234375,0
030FD_004425.jpg,2.269176432,225.9048861,0.714899089,0.895654297,0.447554213,0.112804192,1672.478682,0.079719078,0.757594401,40.78214084,35.06609049,1.694570313,1.249712644,4.679036458,3.293723958,0
030FD_014575.jpg,3.070615234,228.568597,1.093655599,1.213919271,0.543258291,0.225896646,4440.810809,0.290800968,1.180734592,47.95330295,37.16982422,3.119358178,2.516149068,5.861742424,5.187939959,0
030FD_071275.jpg,2.475208333,248.6126107,0.929130859,0.965953776,0.403494806,0.112804192,4107.554039,0.403590739,0.927646484,60.4322678,43.57993273,1.962252604,1.586484375,4.026367188,3.965234375,0
046TE_070475.jpg,1.845384115,201.8082161,1.162867839,1.321295573,0.64944037,0.55213272,3487.312115,0.224307942,1.199124349,54.73749783,44.14538303,1.833424479,1.440052083,4.268880208,2.257851563,0
030FD_015750.jpg,2.155602214,226.9832813,0.605791016,0.869036458,0.281088382,0.112804192,1498.770487,0.064958667,0.61647678,45.06759766,31.91044054,1.275377604,0.915247396,4.279296875,2.620234375,0
030FD_018775.jpg,2.82702474,219.5355404,1.047692057,1.040136719,0.427695416,0.222010426,3721.451545,0.211187576,1.166125217,51.71147352,28.82022678,2.36260352,2.379994824,5.364583333,4.60636646,0
030FD_040400.jpg,3.301002604,247.8950391,1.367252604,1.468496094,0.387813959,0.121910595,6273.090916,0.367517939,1.421099175,72.2590842,41.313699,2.462960405,2.206695688,6.495442708,4.602144608,0
030FD_071000.jpg,3.980680339,224.9806413,1.762281901,1.811015625,0.522968715,0.173748195,8601.084147,0.936078212,1.82961263,74.45910807,39.04583442,3.055820313,3.071757813,9.774739583,5.677773438,0
